	eng	kor
desc_LightningGodsSpear	The spear used by the lightning god in the myth/n'Lightning Element' <val0>	신화에 기록된 뇌신이 사용하던 창/n번개 속성 <val0>
DemonArm	Demon Arm	악령의 팔
desc_DemonArm	The spear made of demonic arms/n<val0>% chance of 'Fear' for <val1> turn	악령의 팔로 만든 창./n<val0>%확률로 <val1>턴간 공포를 부여한다.
GigantSpear	Gigant Spear	거인의 창
desc_GigantSpear	The Giant Spear	거대한 창
CrystalSpear	Crystal Spear	크리스탈 창
desc_CrystalSpear	The Spear made of crystal/nInflict Ryeon damage.	크리스탈로 만든 창/n연술피해를 입힌다.
AshSpike	Ash Spike	잿빛 가시
desc_AshSpike	The spear with heat remaining/n'Fire Element' <val0>	열기가 남아있는 가시 창/n화염 속성<val0>.
WoodenClub	Wooden Club	나무 몽둥이
desc_WoodenClub	A Wooden Club	나무로 만든 몽둥이
IronAxe	Iron Axe	철의 도끼
desc_IronAxe	A Iron Axe	철로 만든 도끼
FishbowlStick	Fishbowl Stick	어항 막대
desc_FishbowlStick	The Fishbowl is weapon/n'Water Element' <val0>.	무기로 삼아진 어항/n물 속성 <val0>.
GeradonsAxe	Geradon's Axe	게라돈의 도끼
desc_GeradonsAxe	The weapon has given by the Geradon, Stone Spirit./n 'Earth Element' <val0>.	바위정령 게라돈이 선물해준 무기/n대지 속성 <val0>.
BigIcicle	Big Icicle	거대 고드름
desc_BigIcicle	It is very cold/n'Frost Element' <val0>	너무도 차갑다/n냉기 속성 <val0>
GiantDeersHorn	Giant Deer's Horn	거록의 뿔
desc_GiantDeersHorn	The Horn of the giant deer	몹시 거대한 순록의 뿔
WoodenStaff	Wooden Staff	나무 막대
desc_WoodenStaff	A Wooden Staff/nGet Ryeon 「Photosynthesis」	나무로 만든 막대/n「광합성」 연술 추가
ALazyMorning	A Lazy Morning	게으른 자의 아침
desc_ALazyMorning	A Slow starter/n<val0>% chance to reduce target mobility by <val1>	느릿하게 시작하는 자/n<val0>%확률로 대상의 이동력 <val1> 감소
BurningStick	Burning Stick	불타는 막대
desc_BurningStick	The Burning Stick/nGet Ryeon 「Fire Arrow」	불타는 막대/n「불화살」 연술 추가
ThePillarOfVerdure	The Pillar of Verdure	신록의 기둥
desc_ThePillarOfVerdure	The Blessing of nature and mana/nIf you hitted by fire element, give your melee attack fire element	자연과 마나의 축복/n화염 속성으로 피격시 다음 근접 공격 화염 속성 부여
EducationStick	Education Stick	가르침의 막대
desc_EducationStick	Teacher's Kindness/nIf your melee attack made target's hp less than <val0>%, give target stun during <val1>turn	스승의 은혜/n근접공격으로 대상의 HP이 <val0>% 미만이 될 경우 <val1>턴간 기절 부여
MilleniumRock	Millenium Rock	천년바위
desc_MilleniumRock	The firmness of time/nIncrease Def, Res <val0>	굳센 세월의 단단함/n방어력, 저항력 <val0> 증가
TrainingBow	Training Bow	훈련용 활
desc_TrainingBow	The Training Bow	훈련에 쓰이는 활
IronBow	Iron Bow	철의 활
desc_IronBow	The Iron Bow	철로 만든 활
FrostCrystal	Frost Crystal	서리결정
desc_FrostCrystal	A chilling chill/n'Frost Element' <val0>	오싹한 냉기/n냉기 속성 <val0>
TheZephyros	The Zephyros	서풍의 활
desc_TheZephyros	The Trajectory is blowed with a far western wind/n'Wind Element' <val0>, Range Bonus <val1>	멀리서 서풍과 함께 불어온 궤적/n바람 속성 <val0>, 사정거리 <val1>증가
Typhoon	Typhoon	태풍
desc_Typhoon	An arrow that shoots like a storm/nRange Bonus <val0>	몰아치는 태풍처럼 쏘아지는 화살/n사정거리 <val0>증가
SplitBow	Split Bow	갈래 활
desc_SplitBow	A Split Bow/nGet Attack Skill 「Arrow Rain」	갈라진 활/n「화살비」 전투기술 추가
SapphireOrb	Sapphire Orb	사파이어 보주
desc_SapphireOrb	A Sapphire Orb/nGet Ryeon 「Crystal Arrow」	사파이어가 새겨진 보주/n「결정 화살」 연술 추가
RubyOrb	Ruby Orb	루비 보주
desc_RubyOrb	A Ruby Orb/nGet Ryeon 「Fire Arrow」	루비가 새겨진 보주/n「불화살」 연술 추가
WhiteOrb	White Orb	화이트 보주
desc_WhiteOrb	A White Orb/nGet Ryeon 「Wind」	새하얀 보주/n「윈드」 연술 추가
SparkGlass	Spark Glass	스파크 글래스
desc_SparkGlass	Sparked Glass Orb/nGet Ryeon 「Chain Lightning」	스파크가 흐르는 유리 보주/n「체인 라이트닝」 연술 추가
FlowerOfStar	Flower Of Star	별의 꽃
desc_FlowerOfStar	Beautiful and Brilliant The flower of the star/nGet Ryeon 「Falling Star」	아름답고도 눈부신 별의 꽃/n「별빛 낙하」 연술 추가
GloryAndFaith	Glory and Faith	영광과 믿음
desc_GloryAndFaith	If enemies are coming, trust yourself/nIn Enemy Turn, Get Ryeon Drain <val0>%	적이 몰려올지라도 자신을 믿으리라/n적군의 턴일시 연술흡혈 <val0>% 획득
RedEye	Red Eye	붉은 눈
desc_RedEye	Floating silent red eye in sky/nIn outdoor, Every enemies are decreased resistance <val0>%	하늘을 떠다니는 고요한 붉은 눈/n실외에서 모든 적군의 저항력 <val0>% 감소
Test_HalfSpirit	Test HalfSpirit	테스트용 반혼
desc_TestHalf_Spirit	Test HalfSpirit	테스트 반혼
TestItem	Test Items	테스트용 아이템
desc_TestItem	Test Items	테스트 아이템
Test_Class	Test Class	테스트용 클래스
desc_Test_Class	Test Class	테스트 클래스
Kain	Kain	카인
desc_Kain	<s1>Child of Captain</s1><s2>Captain of the Eltcamp</s2>	<s1>용병단장의 아이</s1><s2>엘트캠프의 용병단장</s2>
Kana	Kana	카나
desc_Kana	<s1>Child of Captain</s1><s2>Captain of the Eltcamp</s2>	<s1>용병단장의 아이</s1><s2>엘트캠프의 용병단장</s2>
Elrtra	Eltra	엘르트라
desc_Elrtra	The First God's Devine Maiden	초대 신의 신녀
Herwin	Herwin	헤르윈
desc_Herwin	King of the ruined	망국의 왕
Nia	Nia	니아
desc_Nia	Nonamed Hero	무명의 용사
Hyanne	Hyanne	히얀느
desc_Hyanne	<s1>Fallen Child of God</s1><s2>Child of River</s2>	<s1>추락한 신의 아이</s1><s2>강의 아이</s2>
Anna	Anna	안나
desc_Anna	The Deputy Captain of the Eltcamp	엘트캠프의 부단장
Nell	Nell	넬
desc_Nell	The Swordsman of the Eltcamp	엘트캠프의 검사
Diane	Diane	디아네
desc_Diane	The Ryeonier of the Eltcamp	엘트캠프의 연술사
Megian	Megian	메지안
desc_Megian	The Heal Ryeonier of the Eltcamp	엘트캠프의 회복술사
Suiru	Suiru	수이르
desc_Suiru	The Assassin of the Eltcamp	엘트캠프의 암살자
Kuusya	Kuusya	쿠샤
desc_Kuusya	The Ryeonier of the Eltcamp	엘트캠프의 연술사
Nov	Nov	노브
desc_Nov	Herwin's loyal soldier	헤르윈의 충직한 병사
Kemian	Kemian	케미안
desc_Kemian	The Soldier of the Jemarr	제마르의 병사
Bambine	Bambine	밤비네
desc_Bambine	The Deserter of The Jemarr	제마르의 탈주병
Imelda	Imelda	이멜다
desc_Imelda	The Orbering Ryeonier of the Delton	델톤의 떠돌이 연술사
Hana	Hana	하나
desc_Hana	'The Hunter of the Delton	델톤의 사냥꾼
Belvet	Belvet	벨벳
desc_Belvet	The Hunter of the Silence World	고요한 땅의 사냥꾼
Raure	Raure	라우레
desc_Raure	The Swordsman of the Silence World	고요한 땅의 검사
Teton	Teton	테톤
desc_Teton	The Swordsman of the Silence World	고요한 땅의 검사
Cyan	Cyan	시안
desc_Cyan	The Swordsman of the Silence World	고요한 땅의 검사
Denian	Denian	데니안
desc_Denian	The Monster Vigilance of the Silence World	고요한 땅의 마물경계병
Keneron	Keneron	케네론
desc_Keneron	The Prophet of the Silence World	고요한 땅의 예언자
Divelin	Divenlin	디벨린
desc_Divelin	An Exiled	추방당한 자
Kaol	Kaol	카올
desc_Kaol	Captain of the Eltcamp	엘트캠프의 용병단장
BattleConstitution	Battle Constitution	전투체질
desc_BattleConstitution	Recovers 'HP' <val0>% through kill enemy unit.\nWhen a turn starts, this unit acts first regardless of speed.	적 유닛 처치시 HP을 <val0>% 회복한다.\n속도와 상관없이 턴 시작시 가장 처음 행동한다.
Swift	Swift	가벼운 몸짓
desc_Swift	Increases 'Speed' by <val0>%.\nWhen a turn starts, this unit acts first regardless of speed.	속도가 <val0>% 증가한다.\n속도와 상관없이 턴 시작시 가장 처음 행동한다.
Beauty	Beauty	아름다움
desc_Beauty	Decreases 'Unit Bonus Damage' received by <val0>%.	받는 특효 피해량이 <val0>% 감소한다.
HerculeanStrength	Herculean Strength	태산같은 힘
desc_HerculeanStrength	Increases 'ATK' by <val0> for each first attack.	매 첫번째 공격에 한해 공격력이 <val0> 증가한다.
Salvation	Salvation	구원
desc_Salvation	If an ally within <val0> tiles, with less than <val1>% 'HP', is attacked, immediately invoke a turn.	인근 <val0>타일 이내에 HP이 <val1>%미만인 아군이 공격받을 경우 즉시 턴을 불러온다.
ChildOfRiver	Child of River	강의 아이
desc_ChildOfRiver	With each attack, a cumulative 'Water Element' of <val0> is accumulated, and the 'Unit Unit Bonus Damage' against 'Wet' units is occured.	모든 공격에 물 속성 누적치 <val0> 이 축적되며 젖음 상태의 유닛을 대상으로 특효가 발생한다.
ExpierencedVeteran	Expierenced Veteran	노련한 베테랑
desc_ExpierencedVeteran	When using the 'Evasion' card, the effect increases by <val0>.	회피카드 사용시 효과가 <val0> 증가한다.
Recovery	Recovery	재생
desc_Recovery	When starting the each battle, the unit recovers <val0>% of its 'HP'.	매 전투 시작시 HP을 <val0>% 회복한다.
RyeonialRampage	Ryeonial Rampage	연폭주
desc_RyeonialRampage	When using the Ryeon skill, <val1> stacking 'Ryeonial Rampage' effect increases the 'RYN' by <val0>% and can stack once. On the <val2>th 'Ryeonial Rampage', the 'RYN' increases by <val3>%, and the unit is 'Silenced' after the action for one turn.	연술 사용 시 연 수치가 <val0>% 증가하는 연 폭주가 <val1>회 중첩된다. <val2>번째 연 폭주 시 연 수치가 <val3>% 증가하며, 행동 이후 1턴간 침묵에 걸린다.
Embrace	Embrace	포용
desc_Embrace	The 'Recover Power' increases by <val0>%.	회복력이 <val0>% 증가한다.
ShadowWalk	Shadow Walk	그림자걸음
desc_ShadowWalk	The unit can pass through enemy units.	적 유닛을 통과할 수 있다.
TranditionalSorcery	Tranditional Sorcery	전통 주술
desc_TranditionalSorcery	Acquires the 'Kugunda's Flame' ability against targets with higher 'RES' than 'DEF'.	방어력보다 저항력이 높은 대상에 한해 '쿠군다의 화염' 연술을 획득한다.
Belief	Belief	신념
desc_Belief	Once per battlefield, withstands fatal damage with <val0> 'HP'.	매 전장마다 1회에 한해 치명적인 피해를 받을 시 <val1>의 HP으로 버틴다.
Strict	Strict	엄격
desc_Strict	Increases the damage of attack by <val1>% against enemy units with less than <val0>% 'HP'.	HP이 <val0>% 미만인 적 유닛을 대상으로 공격의 위력이 <val1>%증가한다.
Genius	Genius	천재
desc_Genius	Increases 'Experience' gain by <val0>%.	경험치 획득량이 <val0>% 증가한다.
Curiosity	Curiosity	호기심
desc_Curiosity	Increases 'RYN' by <val0>% against enemy units with full health.	HP이 가득 찬 적 유닛을 상대로 연이 <val0>% 증가한다.
EyesOfHunter	Eyes of Hunter	사냥꾼의 눈
desc_EyesOfHunter	Increases 'Accuracy' by <val0>.	명중이 <val0>증가한다.
FlameOfSilence	Flame of Silence	고요의 불씨
desc_FlameOfSilence	Inflicts 'Fire Element' by <val1> on enemy units within <val0> tiles each turn, and the 'Burn' on enemy units within that range does not expire until the end of the turn.	인근 <val0>타일의 적 유닛에게 매 턴마다 화염 속성을 <val1> 부여하며, 해당 범위 내의 적 유닛의 화상이 턴 종료로 풀리지 않는다.
HouseOfRyeonier	House of Ryeonier	연술사 가문
desc_HouseOfRyeonier	When receiving damage from Ryeon attack, increases 'ATK' by <val1>% for <val0> turn.	연술 피해를 받을 경우 <val0>턴간 공격력이 <val0>% 증가한다.
HouseOfSwordman	House of Swordman	검사 가문
desc_HouseOfSwordman	Increases 'Evasion and Accuracy' by <val0> against units equipped with swords.	검을 장비한 유닛을 상대로 회피, 명중이 <val0> 증가한다.
FreeStride	Free Stride	자유로운 발걸음
desc_FreeStride	If there are no allied units within <val0> tiles, increases movement range by <val1>.	인근 <val0>타일 내에 아군이 없을 경우 이동력이 <val1>증가한다.
Vigilance	Vigilance	경계태세
desc_Vigilance	Increases 'Accuracy' by <val0> for counterattacks.	반격에 한해 명중이 <val0> 증가한다.
Foresight	Foresight	미래예지
desc_Foresight	Increases 'Evasion' by <val0> and consumes <val1> 'HP' every turn.	회피가 <val0> 증가하며 매 턴마다 HP이 <val1> 소모된다.
ChildOfRyeon	Child of Ryeon	연의 아이
desc_ChildOfRyeon	Increases the range of Ryeon skill by <val0>.	연술의 사거리가 <val0>증가한다.
Leadership	Leadership	지휘력
desc_Leadership	Increases 'DEF' and 'ATK' by <val1>% for each allied unit within <val0> tiles.	인근 <val0>타일 내에 아군의 수만큼 방어력, 공격력이 <val1>% 증가한다.
HP	HP	HP
desc_HP	Unit's health points, 'HP', become zero, the unit is knocked out.	유닛의 생명력, HP가 0이 될시 쓰러진다.
SP	SP	기력
desc_SP	Consumed in actions such as attacks.	공격 등의 일부 행동에 소모된다.
Str	STR	근력
desc_Str	Affects the 'SPD' variation caused by the 'Weight' of the equipment.	장비 무게로 인한 속도변화에 영향을 준다.
Atk	ATK	공격력
desc_Atk	Inflicts physical damage to enemies.	적에게 물리피해를 입힌다.
Ryn	RYN	연
desc_Ryn	Inflicts Ryeon damage to enemies.	적에게 연 피해를 입힌다.
Spd	SPD	속도
desc_Spd	Affects 'Evasion', and turn priority./nDuring a basic attack, for every difference of <val0>, <val1>, <val2>, <val3> or <val4> in 'SPD', an additional attack occurs once.	회피, 턴 우선순위에 영향을 준다./n기본공격시 속도가 <val0>, <val1>, <val2>, <val3>, <val4>의 차이가 날 때마다 1회의 추가 공격이 발생한다.
Dex	DEX	재주
desc_Dex	Affects 'Evasion', 'Accuracy'.	명중, 회피에 영향을 준다.
Def	DEF	방어력
desc_Def	Reduces physical damage.	물리 피해를 경감한다.
Res	RES	저항
desc_Res	Reduces Ryeon damage.	연 피해를 경감한다.
Swordsman	Swordsman	검사
desc_Swordsman	A combatant who wields a sword.	검으로 전투를 치루는 자.
SwordMaster	Sword Master	소드마스터
desc_SwordMaster	A person who handles a sword very skillfully	검을 매우 능숙히 다루는 자.
SwordDeity	Sword Deity	검신
desc_SwordDeity	One who is always accompanied by a sword.	매 순간을 검과 함께한 자.
Fighter	Fighter	투사
desc_Fighter	One who purely enjoys battles.	순수히 전투 자체를 즐기는 자.
Asura	Asura	아수라
desc_Asura	Life's purpose is battle itself.	삶의 목적은 전투 그 자체.
Soldier	Soldier	병사
desc_Soldier	Military personnel gathered for various reasons.	저마다의 이유로 모인 군사.
EliteSoldier	Elite Soldier	정예병
desc_EliteSoldier	A soldier with significant experience.	많은 경험을 가진 군사.
General	General	장수
desc_General	A highly skilled and experienced soldier.	뛰어난 기량을 인정받은 군사.
Hunter	Hunter	사냥꾼
desc_Hunter	One who hunts enemies using arrows and traps.	화살과 함정 등으로 적을 사냥하는 자.
Assassin	Assassin	암살자
desc_Assassin	Moves stealthily and subdues enemies in an instant.	은밀하게 움직이며 순식간에 적을 제압하는 자.
Paladin	Paladin	팔라딘
desc_Paladin	Supports allies with the Ryeon and fights at the forefront.	연의 힘으로 아군을 지원하며 최전방에서 싸우는 자.
Ryeonier	Ryeonier	연술사
desc_Ryeonier	One who wields the Ryeon.	연의 힘을 다루는 자.
HealRyeonier	Heal Ryeonier	회복술사
desc_HealRyeonier	Harnesses the Ryeon for healing.	연을 이용해 회복의 힘을 다루는 자.
WhiteRyeonier	White Ryeonier	백연술사
desc_WhiteRyeonier	Master of white Ryeon.	백색 연을 다루는 자.
BlackRyeonier	Black Ryeonier	흑연술사
desc_BlackRyeonier	Master of black Ryeon.	흑색 연을 다루는 자.
SoulRyeonier	Soul Ryeonier	영혼술사
desc_SoulRyeonier	Manipulates souls using the Ryeon.	연의 힘으로 영혼을 다루는 자.
LivingSoulRyeonier	Living Soul Ryeonier	생령술사
desc_LivingSoulRyeonier	Manipulates the souls of living beings using the Ryeon.	연의 힘으로 살아있는 자의 영혼을 다루는 자.
NecroRyeonier	Necro Ryeonier	사령술사
desc_NecroRyeonier	Manipulates the souls of the deceased using the Ryeon.	연의 힘으로 죽은 이의 영혼을 다루는 자.
NaturalRyeonier	Natural Ryeonier	자연술사
desc_NaturalRyeonier	Harnesses the Ryeon to manipulate the forces of nature.	연을 이용해 자연의 힘을 다루는 자.
FlameRyeonier	Flame Ryeonier	화염술사
desc_FlameRyeonier	Manipulates the flames using Ryeon.	화염의 연술을 다루는 자.
FrostRyeonier	Frost Ryeonier	냉기술사
desc_FrostRyeonier	Manipulates the frost using Ryeon.	냉기의 연술을 다루는 자.
LightningRyeonier	Lightning Ryeonier	뇌전술사
desc_LightningRyeonier	Manipulates lightning using Ryeon.	뇌전의 연술을 다루는 자.
StormRyeonier	Storm Ryeonier	폭풍술사
desc_StormRyeonier	Manipulates storms using Ryeon.	폭풍의 연술을 다루는 자.
EarthRyeonier	Earth Ryeonier	대지술사
desc_EarthRyeonier	Manipulates the earth using Ryeon.	대지의 연술을 다루는 자.
CaptainOfTheMercenaries	Captain of the Mercenaries	용병단장
desc_CaptainOfTheMercenaries	Commander of a mercenaries.	용병단의 지휘자.
DivineMadien	Devine Maiden	신녀
desc_DivineMadien	One who receives the blessing of the god and follows its will.	신의 축복을 받아 의지를 따르는 자.
TheKing	The King	더 킹
desc_TheKing	The ruler of a nation.	일국의 왕.
Hero	Hero	용사
desc_Hero	The savior of humanity.	인류의 구원자.
LostWings	Lost Wings	날개 없는 자
desc_LostWings	One who has fallen to the Cyclic World after losing their wings.	날개를 잃고 순환의 땅으로 추락한 자.
TheDivine	The Divine	신족
desc_TheDivine	The Owner of the Silence World who possess wings.	날개를 지닌 고요한 땅의 주인.
PowerSmash	Power Smash	강력한 일격
desc_PowerSmash	Unleashes a devastating strike./nThis attack increases the 'Accuracy' by <val0>.	강력한 일격을 가한다./n해당 공격은 명중이 <val0> 증가한다.
SlashHalfSpirit	Slash Half Soul	반혼베기
desc_SlashHalfSpirit	Cuts through the target's Half Spirit, nullifying its effects for one turn. 'Unit Bonus Damage' occurs when targeting a 'Half Spirit'	대상의 반혼을 베어내어 한 턴간 대상의 반혼 효과를 무효화한다. 반혼을 대상으로 특효가 발생한다.
HorizontalSlash	Horizontal Slash	횡베기
desc_HorizontalSlash	Attacks enemies in a <val0>-tile range in front.	전방의 <val1>타일의 적을 공격한다.
Thrash	Thrash	난격
desc_Thrash	Attacks random enemies within <val1> tile, <val0> times.	인근 <val1>타일 내의 적을 무작위로 <val0>회 공격한다.
BattleCommand	Battle Command	진두지휘
desc_BattleCommand	Attacks nearby allies within <val0> tiles, the number of allies being n.	인근 <val0>타일 내의 아군 n명만큼 공격한다.
ExplosiveRyeon	Explosive Ryeon	연폭발
desc_ExplosiveRyeon	Attacks the target, increasing own 'RYN' by <val0> for the turn.	대상을 공격한다, 해당 턴 동안 연이 <val0>증가한다.
Encouragement	Encouragement	격려
desc_Encouragement	Increases 'ATK' by <val1> for <val0> turns.	아군을 격려하여 <val0>회의 공격동안 공격력을 <val1>증가한다.
FuneralRites	Funeral Rites	장례
desc_FuneralRites	Increases own 'RYN' by <val1> and 'SPD' by <val2> for <val0> turns.	획득한 영혼의 장례를 치러 <val0>턴간 연 <val1>, 속도 <val2>이 증가한다.
SoulAbsorption	Soul Absorption	흡령
desc_SoulAbsorption	Decreases the enemy's 'ATK', 'RYN', and 'SPD' by <val1> for <val0> turns.	획득한 영혼을 흡수하여 <val0>턴간 상대의 공격력 연 속도를 <val1> 감소시킨다.
SpiritPossession	Spirit Possession	강령
desc_SpiritPossession	Summons acquired souls, causing additional soul attacks for all own attacks for <val0> turns. *Follows the attack type of the equipped weapon.	획득한 영혼을 강림시켜 <val0>턴간 내 모든 공격에 영혼이 추가 공격을 가한다. *장착한 무기의 공격 유형을 따름
InfernoFlame	Inferno Flame	지옥불꽃
desc_InfernoFlame	Ignites all adjacent <val0> tiles, accumulating 'Fire Element' of <val1>.	자신의 인근 <val0>타일을 모두 불태워 <val1>의 화염 속성을 누적시킨다.
GaleStorm	Gale Storm	대폭풍
desc_GaleStorm	Targets the enemy, unleashing a massive storm that pushes up to <val0> tiles.	대상을 향해 거대한 폭풍을 불러일으켜 최대 <val0>타일 밀어낸다.
DivinePunishment	Divine Punishment	천벌
desc_DivinePunishment	Delivers a powerful strike to the target. If the target is defeated by this skill, all targets within <val0> tile of the target are inflicted with Fear for <val1> turns.	대상에게 강력한 일격을 가한다. 해당 기술로 처치시 인근 <val0>타일 내의 적 유닛에게 <val1>턴간 대상에게 공포 부여
FlameArrow	Flame Arrow	불화살
desc_FlameArrow	Attacks the target, inflicting 'Fire Element' of <val0>.	대상을 공격하며 불속성 <val1>부여한다.
ArrowRain	Arrow Rain	화살비
desc_ArrowRain	Attacks all targets within <val0> tile of the target.	대상 인근 <val0>타일의 모든 대상 공격한다.
Photosynthesis	Photosynthesis	광합성
desc_Photosynthesis	Recovers own health.	자신의 HP 회복한다.
CrystalArrow	Crystal Arrow	결정화살
desc_CrystalArrow	Attacks the target, increasing the skill's 'Accuracy' by <val0>.	대상을 공격한다. 해당 연술의 명중이 <val0>증가한다.
Wind	Wind	윈드
desc_Wind	Attacks the target, inflicting 'Wind Element' of <val0>.	대상을 공격하며 바람속성 <val0>부여한다.
ChainLightning	Chain Lightning	체인 라이트닝
desc_ChainLightning	Attacks all contacted enemies, inflicting 'Lightning Element' of <val0>.	접촉한 모든 적을 공격하며 번개속성 <val0>부여한다.
StellarFall	Stellar Fall	별빛낙하
desc_StellarFall	Drops stars on the target's location, with a <val0>% chance of 'Confusion' for <val1> turn.	대상의 위치에 별빛을 떨어뜨린다, <val0>%확률로 <val1>턴간 혼란 부여한다.
PiercingThrust	Piercing Thrust	꿰뚫기
desc_PiercingThrust	Attacks enemy units within a straight line of <val0> tiles.	직선상 <val0>타일의 범위의 적군을 공격한다.
PowerfulStrike	Powerful Strike	대강타
desc_PowerfulStrike	Attacks the target.	대상을 공격한다.
SpiritualEyes	Spiritual Eyes	심안
desc_SpiritualEyes	Increases the first 'Accuracy' by <val0>% every turn.	매 턴마다 첫 명중이 <val0>% 증가한다.
StrongBacking	Strong Backing	강한기백
desc_StrongBacking	Reduce damage from the enemy's first attack by <val0>%.	적의 첫 공격 피해량이 <val0>% 감소한다.
FlowReading	Flow Reading	흐름읽기
desc_FlowReading	Increase accumulated 'Element' values for all 'Element' by <val0>.	모든 속성누적치가 <val0>증가한다.
Insight	Insight	통찰
desc_Insight	Increase 'Evasion' by <val0>.	회피가 <val0> 증가한다.
Breath	Breath	호흡
desc_Breath	Increase 'Accuracy' by <val0>.	명중이 <val0> 증가한다.
PassingBy	Passing By	스쳐지나가기
desc_PassingBy	Can pass through enemy units while moving.	적 유닛을 지나 이동할 수 있다.
DefensiveStance	Defensive Stance	수비자세
desc_DefensiveStance	Increase 'DEF' or 'RES' by <val0> depending on the enemy's attack type.	상대 공격 유형에 따라 방어력 혹은 저항력이 <val0>증가한다.
Purity	Purity	순백
desc_Purity	When healing allies with own Ryeon skill, increase the 'ATK' of the healed ally by <val0>%.	자신의 연술로 아군 회복시 해당 아군의 공격력이 <val0>%증가한다.
Stigma	Stigma	성흔
desc_Stigma	Reduce 'DEF' and 'RES' of the enemy for <val0> turns when attacked.	적 공격시 <val0>턴간 방어력, 저항력이 <val1>% 감소한다.
FlowOfRyeon	Flow of Ryeon	연의 흐름
desc_FlowofRyeon	Grant additional 'Element' to attacks based on own terrain.	자신의 지형에 따라 공격에 추가 속성 <val0>을 부여한다.
Freezing	Freezing	빙결화
desc_Freezing	Increase 'DEF' and 'RES' by <val0>%.	방어력 저항력이 <val0>% 증가한다.
PowerCharge	Power Charge	전력충전
desc_PowerCharge	Increase 'SPD' by <val0>% when 'Electrified'.	감전 시 속도가 <val0>% 증가한다.
Rock'sProtection	Rock's Protection	바위의 보호
desc_Rock'sProtection	Increase 'DEF' by <val0>%, immune to 'Bleed'.	방어력이 <val0>% 증가하며, 출혈에 면역이된다.
Rescue	Rescue	구원
desc_Rescue	Restore the 'HP' of the ally with the lowest 'HP' ratio by the amount of damage dealt when attacking.	공격 시 첫 공격의 피해량만큼 HP비율이 가장 낮은 아군의 HP를 회복한다.
Devine	Devine	신성
desc_Devine	Immune to all 'CC'.	모든 상태이상에 면역이된다.
HeavySword	Heavy Sword	중검
desc_HeavySword	Decrease 'Attack Speed' and increase 'ATK' in own battles.	내가 거는 전투에서 공격속도가 <val0> 감소, 공격력이 <val1> 증가한다.
SwiftSword	Swift Sword	쾌검
desc_SwiftSword	Increase 'Attack Speed' and decrease 'ATK' in own battles.	내가 거는 전투에서 공격속도가 <val0> 증가, 공격력이 <val1> 감소한다.
IronBody	Iron Body	철인
desc_IronBody	Increase 'HP' by <val0> and 'DEF' by <val1>.	HP가 <val0> 증가하며 방어력이 <val1> 증가한다.
SteelHealth	Steel Health	강철체력
desc_SteelHealth	Increase 'HP' by <val0> and <val1>%.	HP가 <val0> 증가하며 <val1>% 증가한다.
StrongBones	Strong Bones	강골
